year,ready_reckoner_value,registration_date,purchaser_age,purchaser_pincode,final_area_sqft,purchaser_micromarket,developer_name,micromarket,project_pincode,primary_or_secondary,floor,rera_project_status,completion_date
,"45,72,984",12-02-2021,,221003,319,Indore-Tilak Nagar,,,,,,,
,"1,55,27,413",15-02-2024,,221010,281,Indore-Vijay Nagar,,,,,,,
,"1,51,04,412",13-06-2019,,221208,411,J B Nagar - Marol Naka,,,,,,,
,"70,99,427",06-04-2024,,221603,741,J K Gram,,,,,,,
,"71,74,841",23-06-2023,,222136,467,Jabalpur-Central,,,,,,,
,"90,45,789",03-06-2021,,222142,614,Jabalpur-North West,,,,,,,
,"1,15,04,801",09-03-2022,,222149,733,Jacob Circle - Chinchpokli,,,,,,,
,"65,07,406",25-07-2024,,222170,861,Jalgaon,,,,,,,
,"1,29,40,480",02-06-2023,,223104,832,Jalna,,,,,,,
,"63,01,152",13-07-2024,,224001,371,Jamtha,,,,,,,
,"1,67,30,981",22-03-2021,,226004,428,Janakpuri I-Gandhinagar,,,,,,,
,"2,04,40,138",22-07-2021,,226010,518,"Janakpuri, West Delhi",,,,,,,
,"2,52,49,000",26-05-2023,,226012,560,Jhotwara-Kanakpura,,,,,,,
,"1,65,66,535",09-02-2022,,226015,800,Jodhpur Road,,,,,,,
,"63,02,121",15-01-2020,,226016,825,Jogeshwari East,,,,,,,
,"1,24,26,197",08-04-2024,,226020,357,Jogeshwari West - Oshiwara,,,,,,,
,"61,08,258",18-01-2022,,226022,767,Juhu,,,,,,,
,"1,61,26,346",02-03-2020,,231001,844,Kalamboli,,,,,,,
,"2,34,65,065",31-01-2023,,231216,531,Kalbadevi,,,,,,,
,"1,79,34,184",14-10-2020,,231219,644,Kalewadi,,,,,,,
,"1,20,56,330",29-07-2022,,233232,596,Kalwa,,,,,,,
,"1,69,11,467",17-04-2023,,243601,"1,148",Kalyan,,,,,,,
,"96,56,896",01-12-2023,,245101,713,Kalyan - Ganeshwadi,,,,,,,
,"1,52,20,208",08-02-2019,,246761,394,Kamothe,,,,,,,
,"37,94,083",14-11-2022,,248001,529,Kandivali East,,,,,,,
,"70,68,013",21-02-2022,,248006,600,Kandivali West - Charkop,,,,,,,
,"1,52,21,494",24-03-2021,,248007,308,Kanpur,,,,,,,
,"86,45,344",28-05-2019,,249403,940,Kasa,,,,,,,
,"1,75,67,678",18-10-2021,,250001,275,Kasba Peth,,,,,,,
,"72,07,259",23-11-2023,,250004,623,Khadki,,,,,,,
,"1,27,72,853",27-03-2023,,251002,"1,541",Khamgaon,,,,,,,
,"53,75,417",19-03-2021,,262401,309,Khar,,,,,,,
,"59,77,722",21-09-2023,,263002,938,Kharghar,,,,,,,
,"73,70,300",20-07-2021,,272001,632,Khoni,,,,,,,
,"86,41,579",09-07-2024,,273002,888,Kolhapur-Central North,,,,,,,
,"1,16,47,713",11-07-2022,,273003,763,Kolhapur-East,,,,,,,
,"1,03,59,769",17-12-2020,,273008,671,Kolhapur-West,,,,,,,
,"1,78,70,994",27-06-2019,,273014,653,Kondhwa NIBM,,,,,,,
,"62,56,747",04-10-2024,,273015,"1,052",Kopar Khairne,,,,,,,
,"1,50,40,932",18-08-2023,,273165,823,Koregaon Park,,,,,,,
,"95,45,001",25-02-2020,,276136,225,Kota,,,,,,,
,"82,10,886",11-03-2019,,281001,405,Kothagudem,,,,,,,
,"78,92,239",16-12-2024,,281003,821,Kothrud,,,,,,,
,"1,23,75,357",07-03-2025,,281121,290,Kudus,,,,,,,
,"79,33,400",08-09-2023,,281504,515,Kurla,,,,,,,
,"53,89,656",24-04-2024,,282005,763,Kurla East,,,,,,,
,"1,72,20,792",11-06-2021,,282010,816,Lalarpura-Panchyawala,,,,,,,
,"1,06,87,457",19-01-2021,,284003,238,Latur,,,,,,,
,"1,65,77,545",11-12-2024,,285123,360,Lekha Nagar,,,,,,,
,"2,01,70,458",30-11-2019,,301001,"1,173",Lonavala,,,,,,,
,"56,96,006",08-02-2022,,301018,502,Lower Parel,,,,,,,
,"1,21,50,575",29-11-2021,,302001,265,Lucknow North East-Indira Nagar,,,,,,,
,"1,07,65,416",30-01-2019,,302003,"1,793",Lucknow-East,,,,,,,
,"2,62,57,997",30-05-2024,,302004,432,Madh,,,,,,,
,"1,71,58,263",31-07-2019,,302012,516,Mahaveer Nagar-Durgapura,,,,,,,
,"1,01,50,992",29-03-2023,,302015,826,Mahim,,,,,,,
,"1,42,75,430",23-04-2024,,302017,245,Malabar Hill,,,,,,,
,"1,88,47,405",09-04-2019,,302018,561,Malad East,,,,,,,
,"1,50,66,324",23-05-2019,,302019,664,Malad West,,,,,,,
,"2,19,94,186",19-01-2022,,302020,631,Malad West - Marve,,,,,,,
,"1,57,81,437",08-02-2024,,302021,360,Malegaon Fort,,,,,,,
,"49,84,399",25-09-2023,,302023,426,Malviya Nagar-Jagatpura,,,,,,,
,"1,16,74,699",02-02-2022,,302029,774,Mandad,,,,,,,
,"1,05,89,964",16-06-2023,,302034,475,Mangalmurti Nagar,,,,,,,
,"73,71,610",16-07-2019,,302039,"1,172",Manikonda,,,,,,,
,"1,08,94,012",06-04-2023,,305001,532,Manish Nagar,,,,,,,
,"90,94,040",10-03-2023,,305003,744,Mansarovar-Kalyanpura,,,,,,,
,"1,33,93,693",21-06-2022,,305402,510,Marathahalli,,,,,,,
,"43,11,369",21-08-2020,,305404,430,Masjid,,,,,,,
,"82,01,987",07-08-2020,,305624,659,Masjid - Docks Area,,,,,,,
,"81,23,381",28-06-2021,,305901,770,Matunga,,,,,,,
,"1,49,16,155",27-12-2019,,306116,"1,026",Mazgaon,,,,,,,
,"1,15,96,717",25-06-2019,,306401,"1,077",Meerut-North,,,,,,,
,"84,27,959",04-07-2019,,306421,527,Mehrangarh Fort,,,,,,,
,"41,98,296",22-02-2023,,306422,441,Meri Colony,,,,,,,
,"83,17,103",23-02-2023,,306601,"1,463",Mira Road,,,,,,,
,"94,45,524",14-12-2023,,306702,382,Mohamadwadi,,,,,,,
,"46,38,300",13-03-2020,,306902,442,Muhana-Balawala,,,,,,,
,"90,75,660",27-05-2022,,307001,525,Mulund East,,,,,,,
,"1,35,17,486",22-12-2022,,307027,664,Mulund West,,,,,,,
,"1,30,91,451",29-07-2021,,307501,768,Mulund West - Shastri Nagar,,,,,,,
,"53,77,791",29-09-2020,,311001,396,Mumbai Central,,,,,,,
,"40,76,299",17-09-2021,,311021,419,Mumbai G P O,,,,,,,
,"94,45,624",24-06-2022,,311025,788,Mundhva,,,,,,,
,"1,17,07,063",07-01-2021,,311028,695,Naigaon East,,,,,,,
,"1,57,82,304",11-07-2024,,311402,662,Naigaon West,,,,,,,
,"74,23,553",02-03-2023,,312001,521,Nalasopara East,,,,,,,
,"1,20,66,643",31-05-2022,,312201,822,Nalasopara West,,,,,,,
,"1,79,28,854",10-11-2022,,312403,785,Nana Peth,,,,,,,
,"2,02,05,839",23-03-2021,,312605,658,Nanded,,,,,,,
,"57,48,016",15-07-2022,,313001,628,Nariman Point,,,,,,,
,"1,08,93,410",08-04-2021,,313204,751,Naupada,,,,,,,
,"88,69,994",07-11-2022,,313205,550,Navghar Navi Mumbai,,,,,,,
,"1,77,70,874",08-10-2024,,313334,400,Neral,,,,,,,
,"39,82,110",18-03-2025,,323001,595,Nerul,,,,,,,
,"56,75,443",03-04-2023,,324002,"1,121",Nimdale,,,,,,,
,"77,36,955",09-08-2024,,324005,410,Niphad,,,,,,,
,"1,11,47,303",27-02-2023,,324006,611,Nirman Nagar-Ganesh Nagar,,,,,,,
,"71,22,318",20-03-2023,,324010,486,Noida Sector-4,,,,,,,
,"1,26,11,327",04-01-2022,,327001,721,North West Delhi-Shakurpur,,,,,,,
,"82,15,788",30-09-2024,,331027,473,Old Alwal,,,,,,,
,"1,90,80,915",28-07-2021,,331403,301,Opera House - Girgaon,,,,,,,
,"1,41,75,056",28-04-2022,,331507,333,Osmanabad,,,,,,,
,"81,06,702",13-07-2020,,331518,722,Osmania University,,,,,,,
,"1,83,90,303",03-12-2021,,332001,602,Pachpaoli-Tandapeth,,,,,,,
,"49,07,277",15-06-2019,,333026,960,Padole Nagar,,,,,,,
,"91,68,543",07-02-2025,,333042,739,Paldi/Vasna(Ahmedabad),,,,,,,
,"51,38,924",19-03-2025,,333502,451,Palghar,,,,,,,
,"1,00,27,932",05-06-2023,,333516,"1,281",Palghar - Dahisar,,,,,,,
,"79,67,669",31-10-2024,,333705,262,Panchavati,,,,,,,
,"37,44,908",02-01-2025,,334003,"1,321",Panvel,,,,,,,
,"1,58,72,115",19-10-2020,,334401,820,Parel - Lal Baug,,,,,,,
,"1,64,71,048",13-09-2021,,341001,545,Parsodi,,,,,,,
,"1,47,31,156",01-03-2021,,341508,311,"Paschim Vihar, West Delhi",,,,,,,
,"1,12,16,464",23-09-2020,,341533,505,Patel Nagar,,,,,,,
,"1,42,59,354",12-06-2020,,342001,921,Pathardi Gaon,,,,,,,
,"1,30,30,624",25-04-2023,,342003,432,Patna-Central,,,,,,,
,"1,72,76,200",25-01-2022,,342006,900,Patna-South,,,,,,,
,"97,58,354",27-10-2020,,342008,603,Pimple Gurav,,,,,,,
,"50,53,016",26-06-2019,,342011,"1,142",Pimple Saudagar,,,,,,,
,"1,27,18,802",06-12-2021,,343001,"1,387",Powai,,,,,,,
,"44,15,494",04-04-2024,,343022,330,Powai - NITIE,,,,,,,
,"75,87,216",21-12-2023,,343030,264,Prabhadevi,,,,,,,
,"49,78,904",17-10-2022,,343040,223,Raigad - Goregaon,,,,,,,
,"47,80,797",20-01-2022,,344001,492,Raipur,,,,,,,
,"66,43,498",03-03-2022,,344022,436,Raja Park-Jawahar Nagar,,,,,,,
,"1,11,50,674",17-01-2022,,344027,282,Rajkot,,,,,,,
,"55,90,851",31-05-2023,,344031,484,"Rajouri Garden, West Delhi",,,,,,,
,"2,16,04,808",19-07-2023,,344032,508,Ramtek,,,,,,,
,"71,03,291",04-01-2021,,360001,305,Ranchi,,,,,,,
,"55,98,516",06-01-2021,,360002,706,Range Hills Pune,,,,,,,
,"1,52,42,634",08-07-2024,,360004,"1,160",Ratlam,,,,,,,
,"42,53,007",26-04-2022,,360005,511,Ratnagiri,,,,,,,
,"69,72,022",20-01-2023,,360311,308,Ratwad,,,,,,,
,"72,19,573",14-05-2019,,361006,960,Ravet Pune,,,,,,,
,"82,09,186",07-06-2023,,361160,692,Reay Road / Cotton Green,,,,,,,
,"1,38,83,538",18-03-2021,,361350,788,Rithala,,,,,,,
,"80,61,039",16-01-2025,,362001,762,Sadashiv Peth Pune,,,,,,,
,"59,83,299",04-12-2023,,362265,"1,064",Sahibabad-Ghaziabad,,,,,,,
,"96,20,471",08-11-2024,,363641,718,Sangola,,,,,,,
,"45,45,720",14-02-2025,,364001,696,Sanjay Nagar-Vaishali Nagar,,,,,,,
,"1,86,59,257",26-07-2019,,364002,533,Santacruz East,,,,,,,
,"1,49,01,985",20-02-2024,,364240,620,Santacruz East - Sundar Nagar,,,,,,,
,"53,07,746",07-09-2020,,364290,852,Santacruz East - Vidyanagari,,,,,,,
,"76,15,990",23-02-2024,,364515,652,Santacruz West,,,,,,,
,"85,85,724",20-04-2021,,364710,571,Saphale - Kelve Road,,,,,,,
,"78,74,771",25-01-2021,,370001,812,Sardarpura,,,,,,,
,"1,76,18,195",18-06-2024,,370020,580,Saroornagar,,,,,,,
,"63,86,004",28-03-2019,,370135,"1,086",Satara-North,,,,,,,
,"2,38,78,092",26-07-2021,,370140,800,Satpati,,,,,,,
,"1,16,42,304",21-10-2023,,370155,550,Satpur Gaon,,,,,,,
,"2,41,23,312",28-06-2023,,370165,"1,157",Savarkar Nagar,,,,,,,
,"79,72,034",21-03-2024,,380001,897,Savedi,,,,,,,
,"1,39,97,652",30-11-2021,,380005,"1,432",Sewri,,,,,,,
,"96,70,334",31-01-2019,,380006,818,Shahad,,,,,,,
,"1,63,94,046",25-02-2021,,380007,487,Sharanpur,,,,,,,
,"1,66,30,677",15-11-2019,,380008,868,Shivaji Park,,,,,,,
,"1,20,00,154",17-09-2023,,380009,669,Silk Mill Colony-Aurangabad,,,,,,,
,"1,14,03,645",15-12-2021,,380013,686,Sindhu Nagar,,,,,,,
,"97,81,548",11-05-2023,,380015,980,Sion - Chunabhatti,,,,,,,
,"1,56,20,655",25-03-2022,,380050, -   ,Siyaganj,,,,,,,
,"2,25,39,839",29-10-2021,,380051,424,Solapur-Rural,,,,,,,
,"84,57,424",30-06-2023,,380052,636,Sonar Pada Thane,,,,,,,
,"1,97,97,599",04-05-2019,,380054,341,South Delhi-East of Kailash,,,,,,,
,"2,69,35,662",11-06-2024,,380058,433,South Delhi-Kalkaji,,,,,,,
,"85,28,393",10-12-2021,,380059,438,South Delhi-Vasant Kunj,,,,,,,
,"93,29,230",19-10-2023,,380061,696,South East Delhi,,,,,,,
,"69,32,094",24-09-2024,,381005,558,Surat-North West,,,,,,,
,"1,29,46,888",31-12-2021,,382330,497,Surat-South West,,,,,,,
,"2,55,46,639",06-05-2021,,382421,768,Surya Nagar-Kapsi,,,,,,,
,"1,57,15,480",15-02-2023,,382424,424,Tarapur,,,,,,,
,"49,38,202",26-11-2019,,382443,408,Tardeo - Grant Road,,,,,,,
,"61,99,943",03-02-2025,,382470,"1,132",Thane - Balkum,,,,,,,
,"1,45,96,902",20-02-2025,,382475,396,Thane - Kansai,,,,,,,
,"1,57,29,226",18-04-2024,,382481,429,Thane - Kasar Wadavali,,,,,,,
,"77,05,299",05-01-2023,,384002,416,Thane - Majiwada,,,,,,,
,"2,35,64,996",19-04-2024,,384210,522,Thane - Mumbra,,,,,,,
,"76,79,516",04-06-2021,,384265,"1,004",Thane - Titwala,,,,,,,
,"1,21,79,151",06-03-2023,,388001,650,Thane - Yeoor Hills,,,,,,,
,"58,98,308",29-01-2019,,389001,915,Thane East,,,,,,,
,"73,33,606",24-05-2021,,389151,497,Thathawade,,,,,,,
,"1,12,70,571",28-03-2024,,389380,300,Udaipur,,,,,,,
,"86,54,422",21-01-2021,,390001,680,Udgir,,,,,,,
,"1,28,34,081",19-12-2019,,390002,311,Ujjain-South,,,,,,,
,"65,31,386",23-05-2022,,390006,582,Ulhasnagar Section 17,,,,,,,
,"70,05,606",28-01-2020,,390007,762,Ulhasnagar Section 28,,,,,,,
,"60,65,255",18-01-2024,,390008,495,Umaid Bhawan Palace Area,,,,,,,
,"1,10,93,264",21-06-2019,,390011,254,Undari,,,,,,,
,"1,40,19,217",12-05-2021,,390012,872,Uran Navi Mumbai,,,,,,,
,"2,75,01,828",07-10-2021,,390014,"1,103",Urse - Kainad,,,,,,,
,"3,12,66,470",04-04-2022,,390018,"1,017",Vadodara-West,,,,,,,
,"1,49,66,739",25-05-2021,,390020,378,Valsad,,,,,,,
,"1,60,19,791",17-02-2025,,390021,231,Vanjari,,,,,,,
,"1,32,35,650",14-12-2022,,390022,376,Vasai Beach West,,,,,,,
,"1,07,93,742",05-08-2024,,390023,493,Vasai West,,,,,,,
,"95,13,996",31-07-2024,,391101,594,Vashi - Sanpada,,,,,,,
,"78,21,391",28-08-2019,,392001,605,Vidhyadhar Nagar,,,,,,,
,"1,33,95,926",13-08-2019,,392011,759,Vikhroli - Mankur,,,,,,,
,"48,86,324",09-12-2020,,393001,660,Vikhroli - Tagore Nagar,,,,,,,
,"1,24,29,655",01-08-2023,,394105,842,Vikhroli- PirojshaNagar,,,,,,,
,"53,35,004",04-08-2022,,394107,478,Vileparle East,,,,,,,
,"1,07,37,809",18-07-2023,,394150,400,Vileparle West,,,,,,,
,"49,22,225",02-06-2022,,394210,300,Viman nagar,,,,,,,
,"2,34,25,247",29-03-2022,,394270,246,Virar East,,,,,,,
,"1,67,75,278",20-03-2019,,394305,865,Virar West,,,,,,,
,"1,69,45,189",09-04-2021,,394326,413,Wadala,,,,,,,
,"1,03,42,620",09-09-2021,,394515,472,Wadwal,,,,,,,
,"2,32,39,859",16-09-2021,,395001,475,Wagale Estate,,,,,,,
,"1,12,01,655",12-06-2024,,395002,570,Wakad - Hinjawadi,,,,,,,
,"1,59,95,387",05-12-2023,,395003,316,Wanowarie,,,,,,,
,"2,00,07,773",09-10-2024,,395004,461,Warje,,,,,,,
,"1,04,94,541",25-06-2020,,395005,495,Worli,,,,,,,
,"69,12,259",30-12-2019,,395007,570,Worli Sea Face,,,,,,,
,"3,13,02,149",05-11-2024,,395009,317,Yamunanagar,,,,,,,
,"1,09,97,497",24-02-2021,,395010,357,Yavatmal-North(Rural),,,,,,,
,"74,09,578",14-05-2024,,395017,310,Yerkheda,,,,,,,
,"55,42,003",23-10-2020,,396001,414,Yerwada,,,,,,,
,"1,59,37,732",20-01-2025,,396002,875,,,,,,,,
,"1,16,02,767",13-03-2023,,396007,479,,,,,,,,
,"1,21,56,027",28-05-2024,,396125,619,,,,,,,,
,"2,15,54,173",20-11-2023,,396171,510,,,,,,,,
,"2,42,60,493",26-11-2024,,396185,"1,016",,,,,,,,
,"1,22,39,236",30-08-2024,,396191,690,,,,,,,,
,"1,44,02,373",09-05-2024,,396193,726,,,,,,,,
